_id  ,AREA_ID  ,AREA_ATTR_ID ,PARENT_AREA_ID ,AREA_CODE ,AREA_NAME                           ,LONGITUDE       ,LATITUDE
4761 ,25886861 ,25926662     ,49885          ,94        ,Wychwood                            ,-79.425514947 ,43.769192679
4762 ,25886820 ,25926663     ,49885          ,100       ,Yonge-Eglinton                      ,-79.035901675 ,43.704689367
4763 ,25886834 ,25926664     ,49885          ,97        ,Yonge-StClair                      ,-79.978707687 ,43.687858872
4764 ,25886593 ,25926665     ,49885          ,27        ,York University Heights             ,-79.888829298 ,43.765736490
4765 ,25886688 ,25926666     ,49885          ,31        ,Yorkdale-Glen Park                  ,-79.571080738 ,43.714671529
4766 ,25886404 ,25926667     ,49885          ,114       ,Lambton Baby Point                  ,-79.960452553 ,43.574201304
4767 ,25886627 ,25926668     ,49885          ,38        ,Lansing-Westgate                    ,-79.247477215 ,43.754271154
4768 ,25886808 ,25926669     ,49885          ,105       ,Lawrence Park North                 ,-79.940397836 ,43.373006017
4769 ,25886812 ,25926670     ,49885          ,103       ,Lawrence Park South                 ,-79.940603941 ,43.371721170
4770 ,25886328 ,25926671     ,49885          ,56        ,Leaside-Bennington                  ,-79.660723439 ,43.037966281
4771 ,25886972 ,25926672     ,49885          ,84        ,Little Portugal                     ,-79.303227131 ,43.475359304
4772 ,25886804 ,25926673     ,49885          ,19        ,Long Branch                         ,-79.333454492 ,43.592361688
4773 ,25886422 ,25926674     ,49885          ,132       ,Malvern                             ,-79.922251661 ,43.036581967
4774 ,25886697 ,25926675     ,49885          ,29        ,Maple Leaf                          ,-79.948075801 ,43.155739408
4775 ,25886785 ,25926676     ,49885          ,12        ,Markland Wood                       ,-79.957343154 ,43.335417462
4776 ,25886411 ,25926677     ,49885          ,130       ,Milliken                            ,-79.750089244 ,43.206907942
4777 ,25886789 ,25926678     ,49885          ,17        ,Mimico                              ,-79.001366364 ,43.615923861
4778 ,25886466 ,25926679     ,49885          ,135       ,Morningside                         ,-79.070411878 ,43.782398614
4779 ,25886935 ,25926680     ,49885          ,73        ,Moss Park                           ,-79.672970317 ,43.565176231
4780 ,25886380 ,25926681     ,49885          ,115       ,Mount Dennis                        ,-79.999890581 ,43.881440868
4781 ,25886715 ,25926682     ,49885          ,2         ,Mount Olive-Silverstone-Jamestown   ,-79.958725926 ,43.468678027
4782 ,25886815 ,25926683     ,49885          ,99        ,Mount Pleasant East                 ,-79.849239458 ,43.048521692
4783 ,25886818 ,25926684     ,49885          ,104       ,Mount Pleasant West                 ,-79.393359554 ,43.370443517
4784 ,25886797 ,25926685     ,49885          ,18        ,New Toronto                         ,-79.103580889 ,43.005885981
4785 ,25886561 ,25926686     ,49885          ,50        ,Newtonbrook East                    ,-79.059374472 ,43.791535791
4786 ,25886566 ,25926687     ,49885          ,36        ,Newtonbrook West                    ,-79.314215112 ,43.858299384
4787 ,25886988 ,25926688     ,49885          ,82        ,Niagara                             ,-79.412420401 ,43.366808791
4788 ,25886877 ,25926689     ,49885          ,68        ,North Riverdale                     ,-79.512604136 ,43.671995149
4789 ,25886899 ,25926690     ,49885          ,74        ,North StJames Town                 ,-79.752465775 ,43.696234081
4790 ,25886330 ,25926691     ,49885          ,54        ,O'Connor-Parkview                   ,-79.122277655 ,43.068004906
4791 ,25886548 ,25926692     ,49885          ,121       ,Oakridge                            ,-79.797083433 ,43.974081338
4792 ,25886374 ,25926693     ,49885          ,107       ,Oakwood Village                     ,-79.397854793 ,43.885655593
4793 ,25886344 ,25926694     ,49885          ,58        ,Old East York                       ,-79.354883594 ,43.696781271
47   ,25886932 ,25926695     ,49885          ,80        ,Palmerston-Little Italy             ,-79.941840872 ,43.591571037
4795 ,25886615 ,25926696     ,49885          ,45        ,Parkwoods-Donalda                   ,-79.301795171 ,43.755033474
4796 ,25886695 ,25926697     ,49885          ,23        ,Pelmo Park-Humberlea                ,-79.952828220 ,43.175146009
4797 ,25886360 ,25926698     ,49885          ,67        ,Playter Estates-Danforth            ,-79.548872857 ,43.797004697
4798 ,25886564 ,25926699     ,49885          ,46        ,Pleasant View                       ,-79.933494842 ,43.786981759
4799 ,25886756 ,25926700     ,49885          ,10        ,Princess-Rosethorn                  ,-79.445592919 ,43.666050604
4800 ,25886929 ,25926701     ,49885          ,72        ,Regent Park                         ,-79.605088051 ,43.659992142
4801 ,25886730 ,25926702     ,49885          ,4         ,Rexdale-Kipling                     ,-79.662284127 ,43.723725477
4802 ,25886396 ,25926703     ,49885          ,111       ,Rockcliffe-Smythe                   ,-79.944204513 ,43.747904521
4803 ,25886970 ,25926704     ,49885          ,86        ,Roncesvalles                        ,-79.429924472 ,43.646122994
4804 ,25886836 ,25926705     ,49885          ,98        ,Rosedale-Moore Park                 ,-79.796694025 ,43.682820425
4805 ,25886407 ,25926706     ,49885          ,131       ,Rouge                               ,-79.863434458 ,43.212012569
4806 ,25886402 ,25926707     ,49885          ,89        ,Runnymede-Bloor West Village        ,-79.485708182 ,43.592688193
4807 ,25886704 ,25926708     ,49885          ,28        ,Rustic                              ,-79.980914696 ,43.116091166
4808 ,25886515 ,25926709     ,49885          ,139       ,Scarborough Village                 ,-79.216812619 ,43.386518596
4809 ,25886994 ,25926710     ,49885          ,85        ,South Parkdale                      ,-79.943933783 ,43.366995242
4810 ,25886893 ,25926711     ,49885          ,70        ,South Riverdale                     ,-79.335651321 ,43.649292063
4811 ,25886620 ,25926712     ,49885          ,40        ,StAndrew-Windfields                ,-79.937903708 ,43.562458348
4812 ,25886419 ,25926713     ,49885          ,116       ,Steeles                             ,-79.212070061 ,43.812958825
4813 ,25886776 ,25926714     ,49885          ,16        ,Stonegate-Queensway                 ,-79.950112821 ,43.635518132
4814 ,25886464 ,25926715     ,49885          ,118       ,Tam O'Shanter-Sullivan              ,-79.029187122 ,43.801298547
4815 ,25886342 ,25926716     ,49885          ,61        ,Taylor-Massey                       ,-79.959011188 ,43.949981893
4816 ,25886863 ,25926717     ,49885          ,63        ,The Beaches                         ,-79.996013043 ,43.671049993
4817 ,25886723 ,25926718     ,49885          ,3         ,Thistletown-Beaumond Heights        ,-79.956349101 ,43.737987917
4818 ,25886334 ,25926719     ,49885          ,55        ,Thorncliffe Park                    ,-79.499836075 ,43.707749211
4819 ,25886965 ,25926720     ,49885          ,81        ,Trinity-Bellwoods                   ,-79.153421634 ,43.501763211
4820 ,25886920 ,25926721     ,49885          ,79        ,University                          ,-79.401179748 ,43.625062026
4821 ,25886670 ,25926722     ,49885          ,43.        ,Victoria Village                    ,-79.931487382 ,43.728489019
4822 ,25886962 ,25926723     ,49885          ,77        ,Waterfront Communities-The Island   ,-79.772023146 ,43.338803623
4823 ,25886480 ,25926724     ,49885          ,136       ,West Hill                           ,-79.766760264 ,43.674902567
4824 ,25886718 ,25926725     ,49885          ,1         ,West Humber-Clairville              ,-79.959635645 ,43.161804033
4825 ,25886577 ,25926726     ,49885          ,35        ,Westminster-Branson                 ,-79.524182256 ,43.788132165
4826 ,25886362 ,25926727     ,49885          ,113       ,Weston                              ,-79.157225505 ,43.702716046
4827 ,25886870 ,25926728     ,49885          ,91        ,Weston-Pellam Park                  ,-79.602439114 ,43.367396203
4828 ,25886494 ,25926729     ,49885          ,119       ,Wexford/Maryvale                    ,-79.986365699 ,43.485721411
4829 ,25886590 ,25926730     ,49885          ,51        ,Willowdale East                     ,-79.940148378 ,43.706022616
4830 ,25886598 ,25926731     ,49885          ,37        ,Willowdale West                     ,-79.275578378 ,43.771210491
4831 ,25886745 ,25926732     ,49885          ,7         ,Willowridge-Martingrove-Richview    ,-79.542210494 ,43.683644963
4832 ,25886473 ,25926733     ,49885          ,137       ,Woburn                              ,-79.285857671 ,43.766740239
4833 ,25886850 ,25926734     ,49885          ,64        ,Woodbine Corridor                   ,-79.154073786 ,43.767729247
4834 ,25886347 ,25926735     ,49885          ,60        ,Woodbine-Lumsden                    ,-79.111635266 ,43.694106742
4835 ,25886428 ,25926736     ,49885          ,129       ,Agincourt North                     ,-79.266712166 ,43.054405769
4836 ,25886449 ,25926737     ,49885          ,128       ,Agincourt South-Malvern West        ,-79.656117966 ,43.788657551
4837 ,258867   ,25926738     ,49885          ,20        ,Alderwood                           ,-79.416109273 ,43.049368959
4838 ,25886874 ,25926739     ,49885          ,95        ,Annex                               ,-79.040006243 ,43.715854351
4839 ,25886643 ,25926740     ,49885          ,42        ,Banbury-Don Mills                   ,-79.497179808 ,43.737657004
4840 ,25886586 ,25926741     ,49885          ,34        ,Bathurst Manor                      ,-79.560551588 ,43.648133077
4841 ,25886914 ,25926742     ,49885          ,76        ,Bay Street Corridor                 ,-79.857212509 ,43.575113467
4842 ,25886579 ,25926743     ,49885          ,52        ,Bayview Village                     ,-79.771168597 ,43.763605236
4843 ,25886558 ,25926744     ,49885          ,49        ,Bayview Woods-Steeles               ,-79.821179542 ,43.968018666
4844 ,25886655 ,25926745     ,49885          ,39        ,Bedford Park-Nortown                ,-79.202273481 ,43.731486231
4845 ,25886370 ,25926746     ,49885          ,112       ,Beechborough-Greenbrook             ,-79.007725057 ,43.932164866
4846 ,25886482 ,25926747     ,49885          ,127       ,Bendale                             ,-79.574003723 ,43.603663086
4847 ,25886542 ,25926748     ,49885          ,122       ,Birchcliffe-Cliffside               ,-79.650925923 ,43.694681978
4848 ,25886607 ,25926749     ,49885          ,24        ,Black Creek                         ,-79.219793188 ,43.648902472
4849 ,25886867 ,25926750     ,49885          ,69        ,Blake-Jones                         ,-79.373941732 ,43.367617287
4850 ,25886365 ,25926751     ,49885          ,108       ,Briar Hill-Belgravia                ,-79.528512962 ,43.699024381
4851 ,25886663 ,25926752     ,49885          ,41        ,Bridle Path-Sunnybrook-York Mills   ,-79.789041759 ,43.310131378
4852 ,25886351 ,25926753     ,49885          ,57        ,Broadview North                     ,-79.556295118 ,43.688825119
4853 ,25886711 ,25926754     ,49885          ,30        ,Brookhaven-Amesbury                 ,-79.485589259 ,43.701326305
4854 ,25886908 ,25926755     ,49885          ,71        ,Cabbagetown-South StJames Town     ,-79.936610665 ,43.667647727
4855 ,25886378 ,25926756     ,49885          ,109       ,Caledonia-Fairbank                  ,-79.552120796 ,43.688568651
4856 ,25886842 ,25926757     ,49885          ,96        ,Casa Loma                           ,-79.080066472 ,43.818521005
4857 ,25886458 ,25926758     ,49885          ,133       ,Centennial Scarborough              ,-79.508432723 ,43.823764958
4858 ,25886906 ,25926759     ,49885          ,75        ,Church-Yonge Corridor               ,-79.790171666 ,43.596488635
4859 ,25886537 ,25926760     ,49885          ,120       ,Clairlea-Birchmount                 ,-79.928138178 ,43.713592375
4860 ,25886648 ,25926761     ,49885          ,33        ,Clanton Park                        ,-79.463025758 ,43.419784331
4861 ,25886527 ,25926762     ,49885          ,123       ,Cliffcrest                          ,-79.355295687 ,43.211211669
4862 ,25886856 ,25926763     ,49885          ,92        ,Corso Italia-Davenport              ,-79.474693307 ,43.776609067
4863 ,25886844 ,25926764     ,49885          ,66        ,Danforth                            ,-79.932981940 ,43.840254743
4864 ,25886353 ,25926765     ,49885          ,59        ,Danforth East York                  ,-79.314033847 ,43.894680941
4865 ,25886570 ,25926766     ,49885          ,47        ,Don Valley Village                  ,-79.536441306 ,43.783293686
4866 ,25886489 ,25926767     ,49885          ,126       ,Dorset Park                         ,-79.789079388 ,43.759274372
4867 ,25886903 ,25926768     ,49885          ,93        ,Dovercourt-Wallace Emerson-Junction ,-79.385406986 ,43.656769317
4868 ,25886652 ,25926769     ,49885          ,26        ,Downsview-Roding-CFB                ,-79.904973518 ,43.332923453
4869 ,25886949 ,25926770     ,49885          ,83        ,Dufferin Grove                      ,-79.373410365 ,43.554283326
4870 ,25886838 ,25926771     ,49885          ,62        ,East End-Danforth                   ,-79.993586723 ,43.684173877
4871 ,25886752 ,25926772     ,49885          ,9         ,Edenbridge-Humber Valley            ,-79.224577643 ,43.708859094
4872 ,25886513 ,25926773     ,49885          ,138       ,Eglinton East                       ,-79.245598036 ,43.409222979
4873 ,25886733 ,25926774     ,49885          ,5         ,Elms-Old Rexdale                    ,-79.954898271 ,43.721518868
4874 ,25886680 ,25926775     ,49885          ,32        ,Englemount-Lawrence                 ,-79.943740855 ,43.203446653
4875 ,25886758 ,25926776     ,49885          ,11        ,Eringate-Centennial-West Deane      ,-79.804452375 ,43.580167554
4876 ,25886774 ,25926777     ,49885          ,13        ,Etobicoke West Mall                 ,-79.689387722 ,43.450626244
4877 ,25886693 ,25926778     ,49885          ,44        ,Flemingdon Park                     ,-79.326459673 ,43.715929753
4878 ,25886825 ,25926779     ,49885          ,102       ,Forest Hill North                   ,-79.942814316 ,43.042175596
4879 ,25886389 ,25926780     ,49885          ,101       ,Forest Hill South                   ,-79.143178642 ,43.694525756
4880 ,25886640 ,25926781     ,49885          ,25        ,Glenfield-Jane Heights              ,-79.134653159 ,43.745635749
4881 ,25886858 ,25926782     ,49885          ,65        ,Greenwood-Coxwell                   ,-79.243180234 ,43.726123109
4882 ,25886507 ,25926783     ,49885          ,140       ,Guildwood                           ,-79.950553496 ,43.488293378
4883 ,25886600 ,25926784     ,49885          ,53        ,Henry Farm                          ,-79.412406671 ,43.711441425
4884 ,25886941 ,25926785     ,49885          ,88        ,High Park North                     ,-79.663021661 ,43.575649139
4885 ,25886967 ,25926786     ,49885          ,87        ,High Park-Swansea                   ,-79.946787222 ,43.450645834
4886 ,25886455 ,25926787     ,49885          ,134       ,Highland Creek                      ,-79.917747247 ,43.907747688
4887 ,25886554 ,25926788     ,49885          ,48        ,Hillcrest Village                   ,-79.548039999 ,43.029878281
4888 ,25886740 ,25926789     ,49885          ,8         ,Humber Heights-Westmount            ,-79.224162029 ,43.922328007
4889 ,25886613 ,25926790     ,49885          ,21        ,Humber Summit                       ,-79.955617473 ,43.589197465
4890 ,25886658 ,25926791     ,49885          ,22        ,Humbermede                          ,-79.423671192 ,43.434295175
4891 ,25886372 ,25926792     ,49885          ,106       ,Humewood-Cedarvale                  ,-79.276833521 ,43.913698124
4892 ,25886525 ,25926793     ,49885          ,125       ,Ionview                             ,-79.927247049 ,43.735364407
4893 ,25886767 ,259267       ,49885          ,14        ,Islington-City Centre West          ,-79.433165354 ,43.334633497
4894 ,25886882 ,25926795     ,49885          ,90        ,Junction Area                       ,-79.947143987 ,43.678897668
4895 ,25886386 ,25926796     ,49885          ,110       ,Keelesdale-Eglinton West            ,-79.714371062 ,43.857274725
